,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG
20,201962,"Douglas, Toney",Toney Douglas,0,2009,2016,toney_douglas,0,,,,,Y
21,2399,"Dunleavy, Mike",Mike Dunleavy,1,2002,2016,mike_dunleavy,1610612737,Atlanta,Hawks,ATL,hawks,Y
22,204067,"Eddie, Jarell",Jarell Eddie,0,2015,2016,jarell_eddie,0,,,,,Y
23,101145,"Ellis, Monta",Monta Ellis,1,2005,2016,monta_ellis,1610612754,Indiana,Pacers,IND,pacers,Y
24,203957,"Exum, Dante",Dante Exum,1,2014,2017,dante_exum,1610612762,Utah,Jazz,UTA,jazz,Y
25,203105,"Ezeli, Festus",Festus Ezeli,1,2012,2016,festus_ezeli,1610612757,Portland,Trail Blazers,POR,blazers,Y
26,200770,"Farmar, Jordan",Jordan Farmar,0,2006,2016,jordan_farmar,0,,,,,Y
27,1627770,"Felder, Kay",Kay Felder,1,2016,2017,kay_felder,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y
28,200751,"Foye, Randy",Randy Foye,1,2006,2016,randy_foye,1610612751,Brooklyn,Nets,BKN,nets,Y
29,1627868,"Garino, Patricio",Patricio Garino,1,2016,2016,patricio_garino,1610612753,Orlando,Magic,ORL,magic,Y
